clase,area,perimetro,color_r,color_g,color_b
0,875784.0,3862.0,251.06517734370584,246.8771647610616,251.6603646706474
0,829456.0,3710.0,252.12147127276046,247.92774882489846,252.61264089809703
0,2121756.0,5920.0,250.9793502253454,247.66087623534773,252.1572683820786
0,2973152.0,6996.0,248.52636912685594,245.18805313978157,250.1800449608894
0,3038774.0,7122.0,249.79695137672124,246.50635232160386,251.43248579197498
0,2461140.0,6446.0,249.1279020174176,245.6128607627488,250.46140626519022
0,3592908.0,7902.0,247.14093262403497,244.02847075106766,248.58073739052764
0,2047320.0,6028.0,248.09094269408513,244.332267879974,249.40319761005122
0,1875443.0,5592.0,248.79381195989936,245.30484967838035,250.4947140569822
0,2435256.0,6470.0,249.82733901374795,246.26711950922373,250.74682582431686
0,849384.0,3762.0,251.54262590796745,247.73381618266237,252.28524929599055
0,1157520.0,4436.0,251.32776920983397,247.42045996178265,251.93939511756804
0,2495756.0,6570.0,250.6547826327937,246.1667929577855,250.90968482645857
0,959850.0,4010.0,251.3136275849905,247.23027646721636,252.04838661316637
0,2717324.0,6822.0,250.65759645486787,246.0194643265302,250.627929985952
0,1063296.0,4220.0,250.7224248810649,246.7366862438208,251.76548325610946
0,2083293.0,5892.0,250.6303047960158,245.98165510039215,251.0643762241837
0,2189485.0,6044.0,251.54384165097287,246.83514816700216,251.6961511236873
0,1477014.0,4990.0,249.45280185188153,245.633844896913,250.49517138447902
0,881799.0,3872.0,252.0914625555626,248.1083778890791,252.63387504666906
0,1047484.0,4162.0,251.35030907763445,247.48269976474407,251.805644520159
0,851907.0,3736.0,250.46411222199356,246.37699037536552,251.2039383946818
0,2980176.0,7154.0,247.95717833592462,244.26101789364205,249.03354410950436
0,556928.0,3048.0,251.00110985902066,246.93447746407426,251.49791816321738
0,1337680.0,4748.0,250.65400524359822,246.94145815303162,251.39210533014307
0,1762970.0,5478.0,249.20910045542226,245.32857974455263,250.08264030772392
0,1447160.0,4884.0,247.45947459358564,243.25661550491228,248.5432823397359
0,1821695.0,5472.0,248.48783432525454,244.9036515846838,250.08162914097232
0,2534324.0,6630.0,249.05824599636486,245.7233369805372,250.43583634001587
0,1891954.0,5630.0,249.75754976302323,245.89515798801781,250.88036505133272
0,1786116.0,5566.0,248.90222557154848,244.7808052946298,249.95905169935918
0,1118260.0,4424.0,250.30812730613144,246.47836181293704,251.12143791719336
0,886920.0,3836.0,249.9502148132016,246.00064938921776,250.46730879645213
0,1047501.0,4196.0,249.5829484307871,245.6832905589168,250.41753945965127
0,1876176.0,5700.0,248.8180149247185,245.04472611909281,249.94033036551568
0,1610416.0,5216.0,247.39017129156633,243.214208883514,248.29103730925735
0,1459773.0,4932.0,249.99801104312303,246.4870785685484,251.2208611029275
0,780312.0,3596.0,250.9896898794157,247.1138497652582,251.46289881594282
0,1444512.0,4904.0,248.30730931299559,244.5099578621147,249.62995312813936
0,1614086.0,5250.0,249.25152268663388,245.2693948876336,250.08437131710488
0,992610.0,4074.0,250.99475720883785,247.0877724580315,251.8394687143887
1,3840208.0,8048.0,247.44699065460878,244.12699425417523,249.71095009679732
1,9806003.0,12792.0,247.41292801412067,244.81917401138745,248.35203947008637
1,6990858.0,10638.0,245.06173109383158,247.24598889437846,251.27415237610353
1,4203680.0,8328.0,248.5003673016987,245.22068355740484,250.1778801109985
1,9259478.0,12618.0,250.45286500454125,244.97437583656054,248.9481885774558
1,7765923.0,11512.0,251.07087912314515,244.68557332235386,248.99455076036062
1,2683830.0,6722.0,247.39285470484373,244.30203742533885,249.5396279543103
1,3103101.0,7100.0,249.6229872372408,244.26042809493558,249.4028812102934
1,5147160.0,9356.0,249.78621017483184,245.24582638109857,249.94630537657488
1,4069592.0,8226.0,248.4863426393783,244.5895491614535,249.24829822045038
1,4031680.0,8128.0,248.6150324539877,244.4474886806984,249.54075195525687
1,6649587.0,10536.0,248.46039568643633,243.74549294944362,248.28392205370872
1,6315072.0,10334.0,247.6936173156494,244.65230634233075,249.29991848983636
1,6653325.0,10460.0,245.25323718218854,244.72409804876315,249.52104223345899
1,8828820.0,12264.0,248.3831316624752,243.7087989330124,247.7016386198127
1,6778140.0,10838.0,250.106515615235,244.3432789098417,248.74167911544737
1,5576824.0,9580.0,251.79315971733848,245.2128119195084,249.76661097180659
1,6586704.0,10740.0,252.02679541160475,245.09224249028594,249.2834284186384
1,9942964.0,13070.0,240.93078465766797,240.14465383303903,244.48519250637665
1,6675812.0,10536.0,248.3576381633404,243.60213811943754,248.12836313302768
1,5172288.0,9182.0,250.25252362421347,245.22412900492535,249.93215410994034
1,8034940.0,11488.0,243.83076857981496,243.0971588299336,247.8611261379415
1,5574920.0,9732.0,246.07624934317607,244.33598979439418,248.96801781050308
1,3081011.0,7224.0,249.64754576127277,245.2694176211499,250.40101519584096
